Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
,,-56.5,-58.8,-62.4,-70.2,-76.1,-81.1,-81.7,-81.3,-79,-73.9,-66,-59,-70.5
Egypt,Alexandria,13.4,13.9,15.7,18.5,21.2,24.3,25.9,26.3,25.1,22,18.7,14.9,20
,,-56.1,-57,-60.3,-65.3,-70.2,-75.7,-78.6,-79.3,-77.2,-71.6,-65.7,-58.8,-68
Equatorial Guinea,Bata,25.6,25.8,25.7,25.6,25.6,25,24.1,24.2,24.6,24.8,25.2,25,25.1
,,-78.1,-78.4,-78.3,-78.1,-78.1,-77,-75.4,-75.6,-76.3,-76.6,-77.4,-77,-77.2
Equatorial Guinea,Malabo,26.9,27.7,27.6,27.2,26.7,25.9,25.3,25,25.1,25.5,26.1,26.6,26.3
,,-80.4,-81.9,-81.7,-81,-80.1,-78.6,-77.5,-77,-77.2,-77.9,-79,-79.9,-79.3
Eritrea,Asmara,13.8,14.9,16.3,17,17.6,17.6,16.3,16.1,15.7,14.9,14,13.2,15.6
,,-56.8,-58.8,-61.3,-62.6,-63.7,-63.7,-61.3,-61,-60.3,-58.8,-57.2,-55.8,-60.1
Eritrea,Assab,26.3,26.7,28.5,30.5,32,33.1,35,34.6,32.9,31.2,28.8,26.9,30.5
,,-79.3,-80.1,-83.3,-86.9,-89.6,-91.6,-95,-94.3,-91.2,-88.2,-83.8,-80.4,-86.9
Ethiopia,Mek'ele,19.5,20.5,21.5,22.5,23.5,23.5,20.5,20,21.5,20.5,19.5,18.5,22.7
,,-67.1,-68.9,-70.7,-72.5,-74.3,-74.3,-68.9,-68,-70.7,-68.9,-67.1,-65.3,-72.9
Ethiopia,Addis Ababa,16,17,17,17,18,17,15,16,16,16,15,15,16
,,-61,-63,-63,-63,-64,-63,-59,-61,-61,-61,-59,-59,-61
Gabon,Libreville,26.8,27,27.1,26.6,26.7,25.4,24.3,24.3,25.4,25.7,25.9,26.2,25.9
,,-80.2,-80.6,-80.8,-79.9,-80.1,-77.7,-75.7,-75.7,-77.7,-78.3,-78.6,-79.2,-78.6
Gabon,Port-Gentil,26.9,27.3,27.3,27.1,26.6,24.4,23.5,24.7,25.4,25.9,26.1,26.5,26
,,-80.4,-81.1,-81.1,-80.8,-79.9,-75.9,-74.3,-76.5,-77.7,-78.6,-79,-79.7,-78.8
The Gambia,Banjul,23,25,25,25,26,27,27,27,27,27,26,24,26
,,-73,-77,-77,-77,-79,-81,-81,-81,-81,-81,-79,-75,-79
Ghana,Accra,27.3,27.7,27.7,27.7,27.2,25.6,24.4,24.3,25.2,26,27,27.2,26.4
,,-81.1,-81.9,-81.9,-81.9,-81,-78.1,-75.9,-75.7,-77.4,-78.8,-80.6,-81,-79.5
Ghana,Tamale,27.9,30.1,30.9,29.8,28.6,26.8,26,25.8,25.9,27.3,28.2,27.5,27.9
,,-82.2,-86.2,-87.6,-85.6,-83.5,-80.2,-78.8,-78.4,-78.6,-81.1,-82.8,-81.5,-82.2
Ghana,Kumasi,26,27,27,27,26,26,24,24,24,25,26,25,26
,,-79,-81,-81,-81,-79,-79,-75,-75,-75,-77,-79,-77,-79
Guinea,Conakry,26.1,26.5,27,27.4,27.5,26.5,25.5,25.2,25.6,26.3,27,26.6,26.4
,,-79,-79.7,-80.6,-81.3,-81.5,-79.7,-77.9,-77.4,-78.1,-79.3,-80.6,-79.9,-79.5
Guinea,Kankan,24.3,26.3,29.6,30.1,28.3,26.4,25.3,25.1,25.5,26.4,27,23.8,26.5
,,-75.7,-79.3,-85.3,-86.2,-82.9,-79.5,-77.5,-77.2,-77.9,-79.5,-80.6,-74.8,-79.7
Guinea-Bissau,Bissau,26,27,28,28,28,28,27,26,27,28,27,26,27
,,-79,-81,-82,-82,-82,-82,-81,-79,-81,-82,-81,-79,-81
Ivory Coast,Gagnoa,26,27,27,27,27,26,25,25,25,26,26,26,26
,,-79,-81,-81,-81,-81,-79,-77,-77,-77,-79,-79,-79,-79
Ivory Coast,Bouaké,27,28,28,27,26,25,24,24,24,25,26,26,26
,,-81,-82,-82,-81,-79,-77,-75,-75,-75,-77,-79,-79,-79
Ivory Coast,Abidjan,27,28,28,28,27,26,25,24,25,26,27,27,26
,,-81,-82,-82,-82,-81,-79,-77,-75,-77,-79,-81,-81,-79
Ivory Coast,Odienné,25,27,28,28,27,26,25,25,25,25,25,23,26
,,-77,-81,-82,-82,-81,-79,-77,-77,-77,-77,-77,-73,-79
Kenya,Mombasa,27.6,28.1,28.3,27.6,26.2,24.8,24,24,24.7,25.7,26.9,27.4,26.3
,,-81.7,-82.6,-82.9,-81.7,-79.2,-76.6,-75.2,-75.2,-76.5,-78.3,-80.4,-81.3,-79.3
Kenya,Nairobi,18,18.8,19.4,19.2,17.8,16.3,15.6,15.9,17.3,18.5,18.4,18.1,17.8
,,-64.4,-65.8,-66.9,-66.6,-64,-61.3,-60.1,-60.6,-63.1,-65.3,-65.1,-64.6,-64
Kenya,Garissa,29.7,30.6,31.4,30.7,29.6,27.9,27.4,27.6,28.4,29.7,29.9,29.2,29.3
,,-85.5,-87.1,-88.5,-87.3,-85.3,-82.2,-81.3,-81.7,-83.1,-85.5,-85.8,-84.6,-84.7
Kenya,Lodwar,28.7,29.6,30.1,29.6,29.7,29.1,28.4,28.7,29.6,30.1,29.1,28.5,29.3
,,-83.7,-85.3,-86.2,-85.3,-85.5,-84.4,-83.1,-83.7,-85.3,-86.2,-84.4,-83.3,-84.7
Libya,Tripoli,12,13,15,18,22,26,27,28,27,23,17,13,20
,,-54,-55,-59,-64,-72,-79,-81,-82,-81,-73,-63,-55,-68
Libya,Benghazi,12.5,13.2,14.9,18.7,22.5,25.5,25.9,26.5,25.1,22.1,18.2,14.1,19.9
,,-54.5,-55.8,-58.8,-65.7,-72.5,-77.9,-78.6,-79.7,-77.2,-71.8,-64.8,-57.4,-67.8
Madagascar,Fianarantsoa,20.8,20.8,20,18.9,16.7,14.5,14,14.4,16.2,18.3,19.7,20.4,17.9
,,-69.4,-69.4,-68,-66,-62.1,-58.1,-57.2,-57.9,-61.2,-64.9,-67.5,-68.7,-64.2
Madagascar,Toamasina,26,26.1,25.5,24.6,22.9,21.1,20.4,20.5,21.3,22.7,24.3,25.5,23.4
,,-78.8,-79,-77.9,-76.3,-73.2,-70,-68.7,-68.9,-70.3,-72.9,-75.7,-77.9,-74.1
Madagascar,Antananarivo,20.5,20.7,20.1,19.2,16.8,14.6,14.1,14.5,16.3,18.5,19.7,20.2,17.9
,,-68.9,-69.3,-68.2,-66.6,-62.2,-58.3,-57.4,-58.1,-61.3,-65.3,-67.5,-68.4,-64.2
Madagascar,Antsiranana,26,26,26.2,26.3,25.4,24.1,23.5,23.4,24.1,25.2,26.3,26.5,25.2
,,-78.8,-78.8,-79.2,-79.3,-77.7,-75.4,-74.3,-74.1,-75.4,-77.4,-79.3,-79.7,-77.4
Madagascar,Mahajanga,27.1,27.2,27.5,27.4,26.1,24.6,24.2,24.6,25.4,26.8,27.7,27.4,26.3
,,-80.8,-81,-81.5,-81.3,-79,-76.3,-75.6,-76.3,-77.7,-80.2,-81.9,-81.3,-79.3
Madagascar,Toliara,27.5,27.5,26.8,25,22.7,20.7,20.3,21,22.3,23.9,25.3,26.6,24.1
,,-81.5,-81.5,-80.2,-77,-72.9,-69.3,-68.5,-69.8,-72.1,-75,-77.5,-79.9,-75.4
Malawi,Karonga,24.9,25,24.7,24.6,23.6,22.2,21.7,22.4,24.3,26.4,27,25.7,24.4
,,-76.8,-77,-76.5,-76.3,-74.5,-72,-71.1,-72.3,-75.7,-79.5,-80.6,-78.3,-75.9
Malawi,Blantyre,23.5,23.4,23.2,22.2,20.3,18.5,18.4,20,23.1,25,25,24,22.2
,,-74.3,-74.1,-73.8,-72,-68.5,-65.3,-65.1,-68,-73.6,-77,-77,-75.2,-72
Malawi,Mzuzu,19.9,20,19.5,18.7,16.4,13.9,13.1,14,16.7,19.4,20.5,20.1,17.7
,,-67.8,-68,-67.1,-65.7,-61.5,-57,-55.6,-57.2,-62.1,-66.9,-68.9,-68.2,-63.9
Mali,Ségou,24,27,30,33,33,30,28,27,27,29,27,25,28
,,-75,-81,-86,-91,-91,-86,-82,-81,-81,-84,-81,-77,-82
Mali,Timbuktu,21,23,27,31,33,34,32,31,31,30,26,21,28
,,-70,-73,-81,-88,-91,-93,-90,-88,-88,-86,-79,-70,-82
Mali,Bamako,25.1,27.8,30.2,31.6,31.4,29.1,26.8,26.1,26.6,27.7,26.5,24.8,27.8
,,-77.2,-82,-86.4,-88.9,-88.5,-84.4,-80.2,-79,-79.9,-81.9,-79.7,-76.6,-82
Mauritania,Nouadhibou,18.3,19.2,20.1,19.9,20.4,22.8,22.4,23.5,24.6,23.3,21.2,19.2,21.3
,,-64.9,-66.6,-68.2,-67.8,-68.7,-73,-72.3,-74.3,-76.3,-73.9,-70.2,-66.6,-70.3
Mauritania,Nouakchott,21.5,23,24.2,24.3,25.8,26.7,27.3,28.4,29.6,28.8,25.8,22.8,25.7
,,-70.7,-73.4,-75.6,-75.7,-78.4,-80.1,-81.1,-83.1,-85.3,-83.8,-78.4,-73,-78.3
Morocco,Rabat,12.6,13.1,14.2,15.2,17.4,19.8,22.2,22.4,21.5,19,15.9,13.2,17.2
,,-54.7,-55.6,-57.6,-59.4,-63.3,-67.6,-72,-72.3,-70.7,-66.2,-60.6,-55.8,-63
Morocco,Marrakesh,12.2,13.8,15.8,17.3,20.6,23.8,28.3,28.3,25.3,21.1,16.3,12.6,19.6
,,-54,-56.8,-60.4,-63.1,-69.1,-74.8,-82.9,-82.9,-77.5,-70,-61.3,-54.7,-67.3
Morocco,Ouarzazate,9.3,11.9,14.8,17.6,21.7,25.9,29.5,28.8,24.6,19.4,13.7,9.5,18.9
,,-48.7,-53.4,-58.6,-63.7,-71.1,-78.6,-85.1,-83.8,-76.3,-66.9,-56.7,-49.1,-66
Mozambique,Maputo,26.3,26.2,25.6,23.5,21.4,18.9,18.8,20,21.5,22.4,23.8,25.5,22.8
,,-79.3,-79.2,-78.1,-74.3,-70.5,-66,-65.8,-68,-70.7,-72.3,-74.8,-77.9,-73
Niger,Niamey,24.3,27.3,30.9,33.8,34,31.5,29,27.9,29,30.8,27.9,25,29.3
,,-75.7,-81.1,-87.6,-92.8,-93.2,-88.7,-84.2,-82.2,-84.2,-87.4,-82.2,-77,-84.7
Nigeria,Lagos,27.3,28.5,28.5,28,27.1,25.6,25.3,25.1,25.5,26.4,27.2,27.2,26.8
,,-81.1,-83.3,-83.3,-82,-80.8,-78.1,-77.5,-77.2,-77.9,-79.5,-81,-81,-80.2
Nigeria,Makurdi,26.9,27.3,27.3,27.1,26.6,24.4,23.5,24.7,25.4,25.9,26.1,26.5,26
,,-80.4,-81.1,-81.1,-80.8,-79.9,-75.9,-74.3,-76.5,-77.7,-78.6,-79,-79.7,-78.8
Nigeria,Jos,27.3,28.7,30.4,30.2,28.2,26.6,24.4,24.3,26.1,27.8,28,27.2,27.4
,,-81.1,-83.7,-86.7,-86.4,-82.8,-79.9,-75.9,-75.7,-79,-82,-82.4,-81,-81.3
Nigeria,Kano,21.2,24.4,28.7,31.3,30.9,28.2,26.2,25.5,26.6,27.3,24.6,21.6,26.4
,,-70.2,-75.9,-83.7,-88.3,-87.6,-82.8,-79.2,-77.9,-79.9,-81.1,-76.3,-70.9,-79.5
Nigeria,Sokoto,25,26,30,32,32,31,28,27,28,28,27,25,28
,,-77,-79,-86,-90,-90,-88,-82,-81,-82,-82,-81,-77,-82
Republic of the Congo,Brazzaville,26,26,27,26,26,23,22,23,25,26,26,26,25
,,-79,-79,-81,-79,-79,-73,-72,-73,-77,-79,-79,-79,-77
Republic of the Congo,Pointe-Noire,27.5,27.6,27.9,27.8,26.8,24.5,23.1,23.3,24.5,26.3,26.7,26.9,26.1
,,-81.5,-81.7,-82.2,-82,-80.2,-76.1,-73.6,-73.9,-76.1,-79.3,-80.1,-80.4,-79
Republic of the Congo,Dolisie,25,26,26,26,25,23,21,22,23,25,25,25,24
,,-77,-79,-79,-79,-77,-73,-70,-72,-73,-77,-77,-77,-75
Senegal,Dakar,21,21,21,21,22,25,27,27,27,27,26,23,24
,,-70,-70,-70,-70,-72,-77,-81,-81,-81,-81,-79,-73,-75
Senegal,Thiès,21,21,21,22,24,26,27,27,27,27,26,23,24
,,-70,-70,-70,-72,-75,-79,-81,-81,-81,-81,-79,-73,-75
Somalia,Bosaso,25,25,26.7,28.8,31.1,35.6,35.6,36.1,33.3,27.8,25.6,25.6,30
,,-77,-77,-80.1,-83.8,-88,-96.1,-96.1,-97,-91.9,-82,-78.1,-78.1,-86
Somalia,Hargeisa,17.7,18.7,21.6,23,24.1,24.3,23.6,23.6,23.6,24.1,18.7,18,21.7
,,-63.9,-65.7,-70.9,-73.4,-75.4,-75.7,-74.5,-74.5,-74.5,-75.4,-65.7,-64.4,-71.1
Somalia,Mogadishu,26.6,26.9,28,28.9,28.2,26.7,25.4,25.9,26.5,27.3,27.5,26.9,27.1
,,-79.9,-80.4,-82.4,-84,-82.8,-80.1,-77.7,-78.6,-79.7,-81.1,-81.5,-80.4,-80.8
South Africa,Pretoria,22.6,22.1,21,17.9,14.7,11.5,11.9,14.7,18.6,20.1,21,21.9,18.2
,,-72.7,-71.8,-69.8,-64.2,-58.5,-52.7,-53.4,-58.5,-65.5,-68.2,-69.8,-71.4,-64.8
South Africa,Cape Town,20.4,20.4,19.2,16.9,14.4,12.5,11.9,12.4,13.7,15.6,17.9,19.5,16.2
,,-68.7,-68.7,-66.6,-62.4,-57.9,-54.5,-53.4,-54.3,-56.7,-60.1,-64.2,-67.1,-61.2
South Africa,Johannesburg,19.5,19,18,15.3,12.6,9.6,10,12.5,15.9,17.1,17.9,19,15.5
,,-67.1,-66.2,-64.4,-59.5,-54.7,-49.3,-50,-54.5,-60.6,-62.8,-64.2,-66.2,-59.9
South Africa,Bloemfontein,22.8,21.4,19.2,14.9,10.7,6.9,7.2,10.1,14.6,17.5,19.9,21.9,15.6
,,-73,-70.5,-66.6,-58.8,-51.3,-44.4,-45,-50.2,-58.3,-63.5,-67.8,-71.4,-60.1
South Africa,Upington,27.8,26.9,24.7,20.2,15.7,12.1,11.9,14,18.1,21.4,24.7,26.9,20.4
,,-82,-80.4,-76.5,-68.4,-60.3,-53.8,-53.4,-57.2,-64.6,-70.5,-76.5,-80.4,-68.7
South Africa,Durban,24.1,24.3,23.7,21.6,19.1,16.6,16.5,17.7,19.2,20.1,21.4,23.1,20.6
,,-75.4,-75.7,-74.7,-70.9,-66.4,-61.9,-61.7,-63.9,-66.6,-68.2,-70.5,-73.6,-69.1
South Sudan,Juba,28.3,29.5,29.9,29.2,27.9,26.9,25.9,26.1,26.8,27.5,27.6,27.7,27.8
,,-82.9,-85.1,-85.8,-84.6,-82.2,-80.4,-78.6,-79,-80.2,-81.5,-81.7,-81.9,-82
South Sudan,Wau,26.8,28.5,30.4,30.6,29.3,27.5,26.3,26.2,26.8,27.4,27.4,26.5,27.8
,,-80.2,-83.3,-86.7,-87.1,-84.7,-81.5,-79.3,-79.2,-80.2,-81.3,-81.3,-79.7,-82
Sudan,Port Sudan,23.3,23,24.3,26.5,29.3,32.2,34.1,34.5,32.1,29.3,27.3,24.7,28.4
,,-73.9,-73.4,-75.7,-79.7,-84.7,-90,-93.4,-94.1,-89.8,-84.7,-81.1,-76.5,-83.1
Sudan,Khartoum,23.2,25,28.7,31.9,34.5,34.3,32.1,31.5,32.5,32.4,28.1,24.5,29.9
,,-73.8,-77,-83.7,-89.4,-94.1,-93.7,-89.8,-88.7,-90.5,-90.3,-82.6,-76.1,-85.8
Tanzania,Dar es Salaam,27.4,27.7,27.4,26.5,25.5,24.2,23.5,23.7,24.3,25.3,26.3,27.3,25.8
,,-81.3,-81.9,-81.3,-79.7,-77.9,-75.6,-74.3,-74.7,-75.7,-77.5,-79.3,-81.1,-78.4
Tanzania,Zanzibar City,28,28,28,27,25,25,24,25,25,26,27,27,26
,,-82,-82,-82,-81,-77,-77,-75,-77,-77,-79,-81,-81,-79
Tanzania,Tabora,22,22,22,22,22,21,21,22,24,25,24,22,23
,,-72,-72,-72,-72,-72,-70,-70,-72,-75,-77,-75,-72,-73
Tanzania,Dodoma,23.8,23,23.5,22.8,22.1,21.4,19.8,20.5,22.3,23.8,25.1,24.6,22.7
,,-74.8,-73.4,-74.3,-73,-71.8,-70.5,-67.6,-68.9,-72.1,-74.8,-77.2,-76.3,-72.9
Togo,Lomé,27.1,28.2,28.5,28.2,27.4,26.2,25.3,25.2,25.8,26.6,27.3,27.1,26.9
,,-80.8,-82.8,-83.3,-82.8,-81.3,-79.2,-77.5,-77.4,-78.4,-79.9,-81.1,-80.8,-80.4
Togo,Mango,26.8,29.4,31.5,31.4,29.6,27.5,26.4,26,26.4,27.9,27.9,26.7,28.1
,,-80.2,-84.9,-88.7,-88.5,-85.3,-81.5,-79.5,-78.8,-79.5,-82.2,-82.2,-80.1,-82.6
Tunisia,Tunis,11.5,12,13.2,15.6,19.3,23.2,26.3,26.8,24.4,20.4,15.9,12.5,18.4
,,-52.7,-53.6,-55.8,-60.1,-66.7,-73.8,-79.3,-80.2,-75.9,-68.7,-60.6,-54.5,-65.1
Tunisia,Gabès,12,13.3,15.1,17.7,20.8,24,26.6,27.4,25.6,21.7,16.8,13,19.5
,,-53.6,-55.9,-59.2,-63.9,-69.4,-75.2,-79.9,-81.3,-78.1,-71.1,-62.2,-55.4,-67.1
Uganda,Kampala,22,22,22,21,20,20,20,20,20,21,21,21,20
,,-72,-72,-72,-70,-68,-68,-68,-68,-68,-70,-70,-70,-68
Uganda,Entebbe,21,22,22,21,21,21,20,20,21,21,21,21,21
,,-70,-72,-72,-70,-70,-70,-68,-68,-70,-70,-70,-70,-70
Zambia,Ndola,20.8,20.8,21,20.5,18.6,16.5,16.7,19.2,22.5,23.7,22.5,21,20.3
,,-69.4,-69.4,-69.8,-68.9,-65.5,-61.7,-62.1,-66.6,-72.5,-74.7,-72.5,-69.8,-68.5
Zambia,Lusaka,21.5,21.5,21.1,19.9,17.4,15.2,14.9,17.3,21.3,23.5,23.4,21.7,19.9
,,-70.7,-70.7,-70,-67.8,-63.3,-59.4,-58.8,-63.1,-70.3,-74.3,-74.1,-71.1,-67.8
Zambia,Livingstone,23.6,23.2,23.1,21.9,18.9,16,16.1,19.3,23.9,26.2,25.1,23.6,21.8
,,-74.5,-73.8,-73.6,-71.4,-66,-60.8,-61,-66.7,-75,-79.2,-77.2,-74.5,-71.2
Zimbabwe,Harare,21,20.7,20.3,18.8,16.1,13.7,13.4,15.5,18.6,20.8,21.2,20.9,18.4
,,-69.8,-69.3,-68.5,-65.8,-61,-56.7,-56.1,-59.9,-65.5,-69.4,-70.2,-69.6,-65.1
Zimbabwe,Bulawayo,21.8,21.2,20.6,18.7,16,13.7,13.8,16.4,19.9,21.6,21.7,21.4,18.9
,,-71.2,-70.2,-69.1,-65.7,-60.8,-56.7,-56.8,-61.5,-67.8,-70.9,-71.1,-70.5,-66
